,task_id,parents,job_id,instances_num,task_type,status,start_time,end_time,cpu,memory,duration,submit_time,disk
0,ID00000,"['ID00006', 'ID00017', 'ID00027', 'ID00004', 'ID00014', 'ID00025', 'ID00008', 'ID00019', 'ID00029', 'ID00012', 'ID00023', 'ID00010', 'ID00021']",1,10,CyberShake,Terminated,0,100000000000,1,63.208984375,0.0,0,0
1,ID00001,"['ID00028', 'ID00005', 'ID00016', 'ID00026', 'ID00003', 'ID00009', 'ID00007', 'ID00018', 'ID00020', 'ID00013', 'ID00024', 'ID00011', 'ID00022']",1,10,CyberShake,Terminated,0,100000000000,1,57.4150390625,0.0,0,0
2,ID00002,[],1,10,CyberShake,Terminated,0,100000000000,1,251.376953125,10.0,0,0
3,ID00003,[],1,2,CyberShake,Terminated,0,100000000000,1,9.42578125,10.0,0,0
4,ID00004,['ID00003'],1,2,CyberShake,Terminated,0,100000000000,1,14.7587890625,0.76,0,0
5,ID00005,[],1,2,CyberShake,Terminated,0,100000000000,1,16.525390625,10.0,0,0
6,ID00006,['ID00005'],1,2,CyberShake,Terminated,0,100000000000,1,11.0869140625,0.9,0,0
7,ID00007,[],1,2,CyberShake,Terminated,0,100000000000,1,9.2353515625,10.0,0,0
8,ID00008,['ID00007'],1,2,CyberShake,Terminated,0,100000000000,1,7.20703125,1.42,0,0
9,ID00009,[],1,2,CyberShake,Terminated,0,100000000000,1,13.783203125,10.0,0,0
10,ID00010,['ID00009'],1,2,CyberShake,Terminated,0,100000000000,1,10.783203125,0.58,0,0
11,ID00011,[],1,2,CyberShake,Terminated,0,100000000000,1,6.9248046875,10.0,0,0
12,ID00012,['ID00011'],1,2,CyberShake,Terminated,0,100000000000,1,9.26953125,0.99,0,0
13,ID00013,[],1,2,CyberShake,Terminated,0,100000000000,1,6.2841796875,10.0,0,0
14,ID00014,['ID00013'],1,2,CyberShake,Terminated,0,100000000000,1,14.4931640625,1.06,0,0
15,ID00015,[],1,10,CyberShake,Terminated,0,100000000000,1,232.6767578125,10.0,0,0
16,ID00016,[],1,2,CyberShake,Terminated,0,100000000000,1,8.9990234375,10.0,0,0
17,ID00017,['ID00016'],1,2,CyberShake,Terminated,0,100000000000,1,13.9619140625,1.08,0,0
18,ID00018,[],1,2,CyberShake,Terminated,0,100000000000,1,7.0771484375,10.0,0,0
19,ID00019,['ID00018'],1,2,CyberShake,Terminated,0,100000000000,1,2.9013671875,1.06,0,0
20,ID00020,[],1,2,CyberShake,Terminated,0,100000000000,1,2.775390625,10.0,0,0
21,ID00021,['ID00020'],1,2,CyberShake,Terminated,0,100000000000,1,10.69140625,1.06,0,0
22,ID00022,[],1,2,CyberShake,Terminated,0,100000000000,1,9.5693359375,10.0,0,0
23,ID00023,['ID00022'],1,2,CyberShake,Terminated,0,100000000000,1,10.0966796875,0.88,0,0
24,ID00024,[],1,2,CyberShake,Terminated,0,100000000000,1,2.3916015625,10.0,0,0
25,ID00025,['ID00024'],1,2,CyberShake,Terminated,0,100000000000,1,13.2529296875,0.69,0,0
26,ID00026,[],1,2,CyberShake,Terminated,0,100000000000,1,12.46484375,10.0,0,0
27,ID00027,['ID00026'],1,2,CyberShake,Terminated,0,100000000000,1,8.2890625,0.59,0,0
28,ID00028,[],1,2,CyberShake,Terminated,0,100000000000,1,6.5986328125,10.0,0,0
29,ID00029,['ID00028'],1,2,CyberShake,Terminated,0,100000000000,1,2.2138671875,0.55,0,0
