,task_id,parents,job_id,instances_num,task_type,status,start_time,end_time,cpu,memory,duration,submit_time,disk
0,ID00000,[],1,7,Genome,Terminated,0,100000000000,1,688133.974609375,10.0,0,0
1,ID00001,['ID00000'],1,3,Genome,Terminated,0,100000000000,1,114440.80859375,6.07,0,0
2,ID00002,['ID00000'],1,3,Genome,Terminated,0,100000000000,1,115307.1875,8.64,0,0
3,ID00003,['ID00000'],1,3,Genome,Terminated,0,100000000000,1,119444.05078125,5.06,0,0
4,ID00004,['ID00000'],1,3,Genome,Terminated,0,100000000000,1,110764.5546875,7.85,0,0
5,ID00005,['ID00000'],1,3,Genome,Terminated,0,100000000000,1,118776.171875,8.03,0,0
6,ID00006,['ID00000'],1,3,Genome,Terminated,0,100000000000,1,109401.201171875,7.29,0,0
7,ID00007,['ID00001'],1,2,Genome,Terminated,0,100000000000,1,54898.103515625,2.04,0,0
8,ID00008,['ID00002'],1,2,Genome,Terminated,0,100000000000,1,49472.380859375,3.46,0,0
9,ID00009,['ID00003'],1,2,Genome,Terminated,0,100000000000,1,51621.6396484375,3.01,0,0
10,ID00010,['ID00004'],1,2,Genome,Terminated,0,100000000000,1,42121.09765625,2.16,0,0
11,ID00011,['ID00005'],1,2,Genome,Terminated,0,100000000000,1,50579.1015625,2.08,0,0
12,ID00012,['ID00006'],1,2,Genome,Terminated,0,100000000000,1,49144.0634765625,3.27,0,0
13,ID00013,['ID00007'],1,2,Genome,Terminated,0,100000000000,1,32547.771484375,6.07,0,0
14,ID00014,['ID00008'],1,2,Genome,Terminated,0,100000000000,1,25204.58984375,2.82,0,0
15,ID00015,['ID00009'],1,2,Genome,Terminated,0,100000000000,1,27572.1611328125,2.82,0,0
16,ID00016,['ID00010'],1,2,Genome,Terminated,0,100000000000,1,17979.1376953125,3.7,0,0
17,ID00017,['ID00011'],1,2,Genome,Terminated,0,100000000000,1,26388.2421875,3.0,0,0
18,ID00018,['ID00012'],1,2,Genome,Terminated,0,100000000000,1,25782.4091796875,2.83,0,0
19,ID00019,['ID00013'],1,3,Genome,Terminated,0,100000000000,1,3756962.25390625,10.0,0,0
20,ID00020,['ID00014'],1,3,Genome,Terminated,0,100000000000,1,3754855.49609375,10.0,0,0
21,ID00021,['ID00015'],1,3,Genome,Terminated,0,100000000000,1,3757714.642578125,10.0,0,0
22,ID00022,['ID00016'],1,3,Genome,Terminated,0,100000000000,1,3752454.2021484375,10.0,0,0
23,ID00023,['ID00017'],1,3,Genome,Terminated,0,100000000000,1,3756334.5224609375,10.0,0,0
24,ID00024,['ID00018'],1,3,Genome,Terminated,0,100000000000,1,3754427.15234375,10.0,0,0
25,ID00025,"['ID00019', 'ID00020', 'ID00024', 'ID00023', 'ID00022', 'ID00021']",1,9,Genome,Terminated,0,100000000000,1,66783.9599609375,10.0,0,0
26,ID00026,['ID00025'],1,2,Genome,Terminated,0,100000000000,1,32309.8056640625,0.02,0,0
27,ID00027,['ID00026'],1,3,Genome,Terminated,0,100000000000,1,3745828.98046875,10.0,0,0
