,task_id,parents,job_id,instances_num,task_type,status,start_time,end_time,cpu,memory,duration,submit_time,disk
0,ID00000,[],1,4,Montage,Terminated,0,100000000000,1,12266.625,10.0,0,0
1,ID00001,[],1,4,Montage,Terminated,0,100000000000,1,12254.8046875,10.0,0,0
2,ID00002,[],1,4,Montage,Terminated,0,100000000000,1,12271.3671875,10.0,0,0
3,ID00003,[],1,4,Montage,Terminated,0,100000000000,1,12235.49609375,10.0,0,0
4,ID00004,[],1,4,Montage,Terminated,0,100000000000,1,12252.943359375,10.0,0,0
5,ID00005,[],1,4,Montage,Terminated,0,100000000000,1,12215.03125,10.0,0,0
6,ID00006,['ID00000'],1,5,Montage,Terminated,0,100000000000,1,8311.2861328125,10.0,0,0
7,ID00007,"['ID00005', 'ID00000']",1,7,Montage,Terminated,0,100000000000,1,16495.177734375,10.0,0,0
8,ID00008,['ID00001'],1,5,Montage,Terminated,0,100000000000,1,8461.0498046875,10.0,0,0
9,ID00009,"['ID00002', 'ID00001']",1,7,Montage,Terminated,0,100000000000,1,16645.9248046875,10.0,0,0
10,ID00010,['ID00002'],1,5,Montage,Terminated,0,100000000000,1,8329.8427734375,10.0,0,0
11,ID00011,"['ID00005', 'ID00002']",1,7,Montage,Terminated,0,100000000000,1,16384.9150390625,10.0,0,0
12,ID00012,"['ID00003', 'ID00002']",1,7,Montage,Terminated,0,100000000000,1,16433.0,10.0,0,0
13,ID00013,"['ID00004', 'ID00001']",1,7,Montage,Terminated,0,100000000000,1,16538.767578125,10.0,0,0
14,ID00014,['ID00004'],1,5,Montage,Terminated,0,100000000000,1,8467.2431640625,10.0,0,0
15,ID00015,"['ID00005', 'ID00001']",1,7,Montage,Terminated,0,100000000000,1,16559.939453125,10.0,0,0
16,ID00016,"['ID00005', 'ID00004']",1,7,Montage,Terminated,0,100000000000,1,16637.8251953125,10.0,0,0
17,ID00017,['ID00005'],1,5,Montage,Terminated,0,100000000000,1,8494.060546875,10.0,0,0
18,ID00018,"['ID00006', 'ID00017', 'ID00016', 'ID00015', 'ID00014', 'ID00009', 'ID00008', 'ID00007', 'ID00013', 'ID00012', 'ID00011', 'ID00010']",1,10,Montage,Terminated,0,100000000000,1,3346.3427734375,0.96,0,0
19,ID00019,['ID00018'],1,3,Montage,Terminated,0,100000000000,1,3.7529296875,1.76,0,0
20,ID00020,"['ID00019', 'ID00000']",1,5,Montage,Terminated,0,100000000000,1,16228.6513671875,10.0,0,0
21,ID00021,"['ID00019', 'ID00001']",1,5,Montage,Terminated,0,100000000000,1,16276.5771484375,10.0,0,0
22,ID00022,"['ID00019', 'ID00002']",1,5,Montage,Terminated,0,100000000000,1,16326.3623046875,10.0,0,0
23,ID00023,"['ID00003', 'ID00019']",1,5,Montage,Terminated,0,100000000000,1,16247.4482421875,10.0,0,0
24,ID00024,"['ID00004', 'ID00019']",1,5,Montage,Terminated,0,100000000000,1,16280.7021484375,10.0,0,0
25,ID00025,"['ID00005', 'ID00019']",1,5,Montage,Terminated,0,100000000000,1,16271.3232421875,10.0,0,0
26,ID00026,"['ID00025', 'ID00020', 'ID00024', 'ID00023', 'ID00022', 'ID00021']",1,10,Montage,Terminated,0,100000000000,1,48817.703125,2.16,0,0
27,ID00027,['ID00026'],1,4,Montage,Terminated,0,100000000000,1,94409.5498046875,3.57,0,0
28,ID00028,['ID00027'],1,3,Montage,Terminated,0,100000000000,1,96296.0263671875,4.23,0,0
29,ID00029,['ID00028'],1,2,Montage,Terminated,0,100000000000,1,2087.7021484375,0.35,0,0
