task_id,Unnamed: 0,parents,job_id,instances_num,task_type,status,start_time,end_time,cpu,memory,duration,submit_time,disk,EST,EFT,MET,LFT,VmId,children,initial_EST,initial_EFT,initial_MET,initial_LFT
ID00000_0,0,"['ID00004', 'ID00009', 'ID00007']",ID00000,1,CyberShake,Terminated,0,100000000000,1,168,1,0,0,22.700000000000003,24.800000000000004,2.1,40.575000000000045,16,[],13.875,15.975,2.1,1000.0
ID00000_1,1,"['ID00004', 'ID00009', 'ID00007']",ID00000,1,CyberShake,Terminated,0,100000000000,1,942,1,0,0,22.700000000000003,34.475,11.775,40.575000000000045,17,[],13.875,25.65,11.775,1000.0
ID00000_2,2,"['ID00004', 'ID00009', 'ID00007']",ID00000,1,CyberShake,Terminated,0,100000000000,1,502,1,0,0,22.700000000000003,28.975,6.275,40.575000000000045,18,[],13.875,20.15,6.275,1000.0
ID00000_3,3,"['ID00004', 'ID00009', 'ID00007']",ID00000,1,CyberShake,Terminated,0,100000000000,1,2,1,0,0,22.700000000000003,22.725,0.025,40.575000000000045,19,[],13.875,13.9,0.025,1000.0
ID00001_0,4,"['ID00006', 'ID00003', 'ID00008']",ID00001,1,CyberShake,Terminated,0,100000000000,1,467,1,0,0,10.925,22.6,11.675,40.575000000000045,8,[],5.8125,11.65,5.8375,1000.0
ID00001_1,5,"['ID00006', 'ID00003', 'ID00008']",ID00001,1,CyberShake,Terminated,0,100000000000,1,874,1,0,0,10.925,32.775000000000006,21.85,40.575000000000045,9,[],5.8125,16.7375,10.925,1000.0
ID00001_2,6,"['ID00006', 'ID00003', 'ID00008']",ID00001,1,CyberShake,Terminated,0,100000000000,1,556,1,0,0,10.925,24.825000000000003,13.9,40.575000000000045,10,[],5.8125,12.7625,6.95,1000.0
ID00001_3,7,"['ID00006', 'ID00003', 'ID00008']",ID00001,1,CyberShake,Terminated,0,100000000000,1,1,1,0,0,10.925,10.950000000000001,0.025,40.575000000000045,11,[],5.8125,5.825,0.0125,1000.0
ID00002_0,8,[],ID00002,1,CyberShake,Terminated,0,100000000000,1,924,1,0,0,0.0,23.1,23.1,40.575000000000045,11,[],0.0,11.55,11.55,1000.0
ID00002_1,9,[],ID00002,1,CyberShake,Terminated,0,100000000000,1,787,1,0,0,0.0,9.8375,9.8375,40.575000000000045,19,[],0.0,9.8375,9.8375,1000.0
ID00002_2,10,[],ID00002,1,CyberShake,Terminated,0,100000000000,1,776,1,0,0,0.0,9.7,9.7,40.575000000000045,16,[],0.0,9.7,9.7,1000.0
ID00002_3,11,[],ID00002,1,CyberShake,Terminated,0,100000000000,1,135,1,0,0,0.0,6.75,6.75,40.575000000000045,0,[],0.0,1.6875,1.6875,1000.0
ID00003_0,12,[],ID00003,1,CyberShake,Terminated,0,100000000000,1,135,1,0,0,0.0,3.375,3.375,37.200000000000045,8,"['ID00001_0', 'ID00001_1', 'ID00001_2', 'ID00001_3', 'ID00004_0', 'ID00004_1']",0.0,1.6875,1.6875,983.2375000000001
ID00003_1,13,[],ID00003,1,CyberShake,Terminated,0,100000000000,1,467,1,0,0,0.0,5.8375,5.8375,34.73750000000007,19,"['ID00001_0', 'ID00001_1', 'ID00001_2', 'ID00001_3', 'ID00004_0', 'ID00004_1']",0.0,5.8375,5.8375,983.2375000000001
ID00004_0,14,['ID00003'],ID00004,1,CyberShake,Terminated,0,100000000000,1,399,1,0,0,5.8375,10.825,4.9875,35.58750000000009,19,"['ID00000_0', 'ID00000_1', 'ID00000_2', 'ID00000_3']",1.6875,6.675,4.9875,988.225
ID00004_1,15,['ID00003'],ID00004,1,CyberShake,Terminated,0,100000000000,1,168,1,0,0,5.8375,10.037500000000001,4.2,36.375,8,"['ID00000_0', 'ID00000_1', 'ID00000_2', 'ID00000_3']",1.6875,3.7875,2.1,988.225
ID00005_0,16,[],ID00005,1,CyberShake,Terminated,0,100000000000,1,667,1,0,0,0.0,33.35,33.35,40.575000000000045,1,[],0.0,8.3375,8.3375,1000.0
ID00005_1,17,[],ID00005,1,CyberShake,Terminated,0,100000000000,1,584,1,0,0,0.0,29.2,29.2,40.575000000000045,2,[],0.0,7.3,7.3,1000.0
ID00005_2,18,[],ID00005,1,CyberShake,Terminated,0,100000000000,1,928,1,0,0,0.0,11.6,11.6,40.575000000000045,18,[],0.0,11.6,11.6,1000.0
ID00005_3,19,[],ID00005,1,CyberShake,Terminated,0,100000000000,1,376,1,0,0,0.0,18.8,18.8,40.575000000000045,3,[],0.0,4.7,4.7,1000.0
ID00006_0,20,[],ID00006,1,CyberShake,Terminated,0,100000000000,1,465,1,0,0,0.0,5.8125,5.8125,34.762500000000045,19,"['ID00001_0', 'ID00001_1', 'ID00001_2', 'ID00001_3', 'ID00007_0', 'ID00007_1']",0.0,5.8125,5.8125,976.45
